"y","mnth","mnth_no","urls"
2002,"january",1,"https://www.gazprom.ru/press/news/2002/january/article53861/"
2002,"january",1,"https://www.gazprom.ru/press/news/2002/january/article53862/"
2002,"january",1,"https://www.gazprom.ru/press/news/2002/january/article53863/"
2002,"january",1,"https://www.gazprom.ru/press/news/2002/january/article53864/"
2002,"january",1,"https://www.gazprom.ru/press/news/2002/january/article53865/"
2002,"january",1,"https://www.gazprom.ru/press/news/2002/january/article53866/"
2002,"january",1,"https://www.gazprom.ru/press/news/2002/january/article53867/"
2002,"january",1,"https://www.gazprom.ru/press/news/2002/january/article53868/"
2002,"january",1,"https://www.gazprom.ru/press/news/2002/january/article53869/"
2002,"january",1,"https://www.gazprom.ru/press/news/2002/january/article53870/"
2002,"january",1,"https://www.gazprom.ru/press/news/2002/january/article53871/"
2002,"january",1,"https://www.gazprom.ru/press/news/2002/january/article53872/"
2002,"january",1,"https://www.gazprom.ru/press/news/2002/january/article53873/"
2002,"january",1,"https://www.gazprom.ru/press/news/2002/january/article53874/"
2002,"january",1,"https://www.gazprom.ru/press/news/2002/january/article53875/"
2002,"january",1,"https://www.gazprom.ru/press/news/2002/january/article53876/"
2002,"february",2,"https://www.gazprom.ru/press/news/2002/february/article53877/"
2002,"february",2,"https://www.gazprom.ru/press/news/2002/february/article53878/"
2002,"february",2,"https://www.gazprom.ru/press/news/2002/february/article53879/"
2002,"february",2,"https://www.gazprom.ru/press/news/2002/february/article53880/"
2002,"february",2,"https://www.gazprom.ru/press/news/2002/february/article53881/"
2002,"february",2,"https://www.gazprom.ru/press/news/2002/february/article53882/"
2002,"february",2,"https://www.gazprom.ru/press/news/2002/february/article53883/"
2002,"february",2,"https://www.gazprom.ru/press/news/2002/february/article53884/"
2002,"february",2,"https://www.gazprom.ru/press/news/2002/february/article53885/"
2002,"february",2,"https://www.gazprom.ru/press/news/2002/february/article53886/"
2002,"february",2,"https://www.gazprom.ru/press/news/2002/february/article53887/"
2002,"february",2,"https://www.gazprom.ru/press/news/2002/february/article53888/"
2002,"february",2,"https://www.gazprom.ru/press/news/2002/february/article53889/"
2002,"february",2,"https://www.gazprom.ru/press/news/2002/february/article53890/"
2002,"february",2,"https://www.gazprom.ru/press/news/2002/february/article53891/"
2002,"february",2,"https://www.gazprom.ru/press/news/2002/february/article53892/"
2002,"march",3,"https://www.gazprom.ru/press/news/2002/march/article53893/"
2002,"march",3,"https://www.gazprom.ru/press/news/2002/march/article53894/"
2002,"march",3,"https://www.gazprom.ru/press/news/2002/march/article53895/"
2002,"march",3,"https://www.gazprom.ru/press/news/2002/march/article53896/"
2002,"march",3,"https://www.gazprom.ru/press/news/2002/march/article53897/"
2002,"march",3,"https://www.gazprom.ru/press/news/2002/march/article53898/"
2002,"march",3,"https://www.gazprom.ru/press/news/2002/march/article53899/"
2002,"march",3,"https://www.gazprom.ru/press/news/2002/march/article53900/"
2002,"march",3,"https://www.gazprom.ru/press/news/2002/march/article53901/"
2002,"march",3,"https://www.gazprom.ru/press/news/2002/march/article53902/"
2002,"march",3,"https://www.gazprom.ru/press/news/2002/march/article53904/"
2002,"march",3,"https://www.gazprom.ru/press/news/2002/march/article53905/"
2002,"march",3,"https://www.gazprom.ru/press/news/2002/march/article53906/"
2002,"march",3,"https://www.gazprom.ru/press/news/2002/march/article53907/"
2002,"march",3,"https://www.gazprom.ru/press/news/2002/march/article53908/"
2002,"march",3,"https://www.gazprom.ru/press/news/2002/march/article53909/"
2002,"march",3,"https://www.gazprom.ru/press/news/2002/march/article53910/"
2002,"march",3,"https://www.gazprom.ru/press/news/2002/march/article53911/"
2002,"april",4,"https://www.gazprom.ru/press/news/2002/april/article53912/"
2002,"april",4,"https://www.gazprom.ru/press/news/2002/april/article53913/"
2002,"april",4,"https://www.gazprom.ru/press/news/2002/april/article53914/"
2002,"april",4,"https://www.gazprom.ru/press/news/2002/april/article53915/"
2002,"april",4,"https://www.gazprom.ru/press/news/2002/april/article53916/"
